ID,VS.5mm.L_GainAntGrCtrlAnt,VS.5mm.L_SmGainAntGrCtrlAnt,VS.5mm.L_LgGainAntGrCtrlAnt,VS.5mm.R_GainAntGrCtrlAnt,VS.5mm.R_SmGainAntGrCtrlAnt,VS.5mm.R_LgGainAntGrCtrlAnt,VS.10mm.L_GainAntGrCtrlAnt,VS.10mm.L_SmGainAntGrCtrlAnt,VS.10mm.L_LgGainAntGrCtrlAnt,VS.10mm.R_GainAntGrCtrlAnt,VS.10mm.R_SmGainAntGrCtrlAnt,VS.10mm.R_LgGainAntGrCtrlAnt
DMHDS1118,-0.151026,-0.26059,-0.041462,-0.096573,-0.078256,-0.11489,-0.038252,-0.165532,0.089029,0.02099,-0.06837,0.11035
DMHDS0417,0.656106,0.673847,0.638365,0.575291,0.468301,0.682281,0.59512,0.422002,0.768239,0.622392,0.521878,0.722905
DMHDS1122,-0.164138,-0.167553,-0.160723,-0.102942,-0.104705,-0.101179,-0.059477,-0.160635,0.041682,-0.007259,-0.009506,-0.005011
DMHDS0376,1.056112,0.747007,1.365217,0.79559,0.66411,0.92707,0.990378,0.707746,1.27301,0.954882,0.777565,1.132199
DMHDS0270,0.127551,-0.001946,0.257048,0.270676,0.37475,0.166603,0.189151,0.094282,0.28402,0.22503,0.214716,0.235343
DMHDS0516,-0.119859,-0.413064,0.173346,-0.126762,-0.200258,-0.053265,-0.236437,-0.453137,-0.019737,-0.124335,-0.236888,-0.011781
DMHDS0333,0.225307,0.208706,0.241908,0.401502,0.30127,0.501734,0.307609,0.180055,0.435163,0.23852,0.185921,0.291118
DMHDS0393,1.180739,1.125595,1.235883,0.612347,0.43972,0.784974,0.685063,0.59034,0.779785,0.364228,0.152394,0.576062
DMHDS0266,0.515729,0.600811,0.430647,-0.046567,-0.07318,-0.019954,0.185966,0.242031,0.129901,-0.061467,-0.060879,-0.062056
DMHDS0230,0.226567,0.047214,0.405919,0.144784,-0.073515,0.363083,0.210868,0.111586,0.310151,0.169339,0.02283,0.315848
DMHDS0297,0.28364,0.200454,0.366825,0.081077,0.0589,0.103254,0.215173,0.196382,0.233965,0.156763,0.108006,0.20552
DMHDS0250,0.166489,0.163149,0.169828,0.315288,0.281149,0.349428,0.097575,0.018726,0.176424,0.219082,0.187503,0.250661
DMHDS0362,-0.011195,-0.133218,0.110828,0.236138,0.124319,0.347957,-0.067828,-0.165867,0.030211,0.099901,-0.013572,0.213374
DMHDS0371,0.261282,-0.075487,0.59805,0.053021,0.028602,0.07744,0.149037,-0.04581,0.343884,0.033473,0.037586,0.029359
DMHDS0308,-0.077018,-0.150778,-0.003257,-0.081763,-0.152333,-0.011192,-0.042494,-0.081323,-0.003665,-0.013562,-0.053739,0.026614
DMHDS0224,0.136045,0.020683,0.251408,0.221264,0.071872,0.370656,0.243564,0.080207,0.406921,0.276901,0.041377,0.512424
DMHDS0213,-0.130251,-0.201912,-0.05859,-0.181043,-0.168413,-0.193672,-0.195223,-0.085373,-0.305072,-0.136061,0.040632,-0.312754
